                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.74526,                0.40306,                0.83693,                0.88068,                0.74383,                0.84205,                0.61061,                0.69509,                0.38626,                0.84119,               0.000614,               0.000614,               0.000614
                    143,                0.76507,                0.41345,                0.83591,                0.87352,                0.74358,                0.84038,                 0.6019,                 0.6922,                0.38979,                0.83981,              0.0006041,              0.0006041,              0.0006041
                    144,                0.75573,                0.40462,                0.83251,                0.88452,                0.73889,                0.84256,                0.60347,                0.67899,                0.38219,                0.83463,              0.0005942,              0.0005942,              0.0005942
                    145,                0.75293,                0.40681,                0.83132,                0.88208,                0.73453,                0.83943,                0.60255,                0.67892,                0.38293,                0.83488,              0.0005843,              0.0005843,              0.0005843
                    146,                0.75926,                0.40798,                0.83313,                0.87496,                0.73643,                0.83664,                0.60615,                0.69336,                0.38929,                0.83636,              0.0005744,              0.0005744,              0.0005744
                    147,                0.74635,                0.40298,                0.83372,                0.88378,                0.74666,                0.84441,                0.61514,                0.67168,                0.37915,                0.83368,              0.0005645,              0.0005645,              0.0005645
                    148,                 0.7423,                0.39836,                0.83395,                0.88518,                0.74368,                0.84471,                0.60676,                0.67686,                0.37585,                0.83647,              0.0005546,              0.0005546,              0.0005546
                    149,                0.74897,                0.39776,                0.83466,                0.87769,                0.74789,                0.84741,                0.61314,                0.66948,                0.37968,                0.83263,              0.0005447,              0.0005447,              0.0005447
                    150,                0.72903,                0.39806,                0.83573,                0.88013,                 0.7304,                0.83589,                0.60342,                0.67783,                0.39139,                 0.8346,              0.0005348,              0.0005348,              0.0005348
                    151,                0.74842,                0.40068,                0.83286,                0.87625,                0.74405,                0.84258,                0.61297,                0.66535,                0.37872,                0.83532,              0.0005249,              0.0005249,              0.0005249
